Surveillance Network,Season,MMWR Year,MMWR Week,Week ending date,Age group,Sex,Race/Ethnicity,Site,Weekly Rate,Cumulative Rate
FluSurv-NET,2018-19,2018,40,10/06/2018 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0
FluSurv-NET,2018-19,2018,41,10/13/2018 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0
FluSurv-NET,2018-19,2018,42,10/20/2018 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0
FluSurv-NET,2018-19,2018,43,10/27/2018 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0
FluSurv-NET,2018-19,2018,44,11/03/2018 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0
FluSurv-NET,2018-19,2018,45,11/10/2018 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0
FluSurv-NET,2018-19,2018,46,11/17/2018 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.5,0.5
FluSurv-NET,2018-19,2018,47,11/24/2018 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0.5
FluSurv-NET,2018-19,2018,48,12/01/2018 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0.5
FluSurv-NET,2018-19,2018,49,12/08/2018 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,1,1.5
FluSurv-NET,2018-19,2018,50,12/15/2018 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.5,3.9
FluSurv-NET,2018-19,2018,51,12/22/2018 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,9.3
FluSurv-NET,2018-19,2018,52,12/29/2018 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,14.7
FluSurv-NET,2018-19,2019,1,01/05/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,8.8,23.6
FluSurv-NET,2018-19,2019,2,01/12/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,6.9,30.5
FluSurv-NET,2018-19,2019,3,01/19/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,3.4,33.9
FluSurv-NET,2018-19,2019,4,01/26/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.9,36.8
FluSurv-NET,2018-19,2019,5,02/02/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,3.9,40.8
FluSurv-NET,2018-19,2019,6,02/09/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,46.2
FluSurv-NET,2018-19,2019,7,02/16/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,51.6
FluSurv-NET,2018-19,2019,8,02/23/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,8.8,60.4
FluSurv-NET,2018-19,2019,9,03/02/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.5,62.9
FluSurv-NET,2018-19,2019,10,03/09/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,6.4,69.3
FluSurv-NET,2018-19,2019,11,03/16/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.9,72.2
FluSurv-NET,2018-19,2019,12,03/23/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.9,78.1
FluSurv-NET,2018-19,2019,13,03/30/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.5,80.6
FluSurv-NET,2018-19,2019,14,04/06/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,2,82.5
FluSurv-NET,2018-19,2019,15,04/13/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.5,84
FluSurv-NET,2018-19,2019,16,04/20/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.5,85.5
FluSurv-NET,2018-19,2019,17,04/27/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,85.5
FluSurv-NET,2018-19,2019,18,05/04/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,85.5
FluSurv-NET,2019-20,2019,40,10/05/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0
FluSurv-NET,2019-20,2019,41,10/12/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0
FluSurv-NET,2019-20,2019,42,10/19/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0
FluSurv-NET,2019-20,2019,43,10/26/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.5,0.5
FluSurv-NET,2019-20,2019,44,11/02/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0.5
FluSurv-NET,2019-20,2019,45,11/09/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.5,1
FluSurv-NET,2019-20,2019,46,11/16/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,1
FluSurv-NET,2019-20,2019,47,11/23/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,1,2
FluSurv-NET,2019-20,2019,48,11/30/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,1,2.9
FluSurv-NET,2019-20,2019,49,12/07/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.4,5.4
FluSurv-NET,2019-20,2019,50,12/14/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.9,8.3
FluSurv-NET,2019-20,2019,51,12/21/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.9,11.2
FluSurv-NET,2019-20,2019,52,12/28/2019 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,16.6
FluSurv-NET,2019-20,2020,1,01/04/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,7.3,23.9
FluSurv-NET,2019-20,2020,2,01/11/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.9,29.7
FluSurv-NET,2019-20,2020,3,01/18/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,11.2,41
FluSurv-NET,2019-20,2020,4,01/25/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,46.3
FluSurv-NET,2019-20,2020,5,02/01/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,8.8,55.1
FluSurv-NET,2019-20,2020,6,02/08/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,10.2,65.3
FluSurv-NET,2019-20,2020,7,02/15/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,4.9,70.2
FluSurv-NET,2019-20,2020,8,02/22/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,75.6
FluSurv-NET,2019-20,2020,9,02/29/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,81
FluSurv-NET,2019-20,2020,10,03/07/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,4.4,85.3
FluSurv-NET,2019-20,2020,11,03/14/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,3.4,88.8
FluSurv-NET,2019-20,2020,12,03/21/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.4,91.2
FluSurv-NET,2019-20,2020,13,03/28/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.5,91.7
FluSurv-NET,2019-20,2020,14,04/04/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,91.7
FluSurv-NET,2019-20,2020,15,04/11/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,91.7
FluSurv-NET,2019-20,2020,16,04/18/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,91.7
FluSurv-NET,2019-20,2020,17,04/25/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,91.7
FluSurv-NET,2019-20,2020,18,05/02/2020 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,91.7
FluSurv-NET,2021-22,2021,40,10/09/2021 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0
FluSurv-NET,2021-22,2021,41,10/16/2021 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,0.6
FluSurv-NET,2021-22,2021,42,10/23/2021 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,1.1
FluSurv-NET,2021-22,2021,43,10/30/2021 12:00:00 AM,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,1.1
